Product,Price,Link
"SAMSUNG Galaxy S21 (Phantom Violet, 128 GB)","₹59,999",/samsung-galaxy-s21-phantom-violet-128-gb/p/itm916d671b27b8d?pid=MOBFZ3TM5FT52G79&lid=LSTMOBFZ3TM5FT52G79RTBHT2&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_18_409&otracker=search&fm=organic&iid=c9bb6bb4-1e96-4b23-828b-14bf54d007c1.MOBFZ3TM5FT52G79.SEARCH&ppt=None&ppn=None&ssid=lirwzwq6hc0000001638025434414&qH=0258c7d48242959a
,,
"SAMSUNG Galaxy A5 (Midnight Black, 16 GB)","₹17,990",/samsung-galaxy-a5-midnight-black-16-gb/p/itme3xz9zubc9hjg?pid=MOBE3XZ7ZBZ9ADRR&lid=LSTMOBE3XZ7ZBZ9ADRRYWRZL8&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_19_433&otracker=search&fm=organic&iid=ff8ee7bc-4d74-44f1-9114-02479029167c.MOBE3XZ7ZBZ9ADRR.SEARCH&ppt=None&ppn=None&ssid=bd6htnkzeo0000001638025436472&qH=0258c7d48242959a
,,
"SAMSUNG Galaxy S9 Plus (Lilac Purple, 128 GB)","₹68,900",/samsung-galaxy-s9-plus-lilac-purple-128-gb/p/itmf3qq3tgwv2bez?pid=MOBF3QNQU6V5SKRW&lid=LSTMOBF3QNQU6V5SKRWDEIFO6&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_20_457&otracker=search&fm=organic&iid=36dfa130-cfbd-402a-a08f-d6a546cff646.MOBF3QNQU6V5SKRW.SEARCH&ppt=None&ppn=None&ssid=9n1pgdg7yo0000001638025438487&qH=0258c7d48242959a
,,
"SAMSUNG Galaxy S21 Ultra (Phantom Black, 512 GB)","₹1,16,999",/samsung-galaxy-s21-ultra-phantom-black-512-gb/p/itm74793d2bde182?pid=MOBFZ3TMCEHYWGNG&lid=LSTMOBFZ3TMCEHYWGNGSPHZOP&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_21_481&otracker=search&fm=organic&iid=7e90f0fe-b59b-44a3-9410-407331a057c0.MOBFZ3TMCEHYWGNG.SEARCH&ppt=None&ppn=None&ssid=a4k729p4ts0000001638025439787&qH=0258c7d48242959a
,,
SAMSUNG SM-B310EZDDINS,"₹1,949",/samsung-sm-b310ezddins/p/itm1085fbe90ba3b?pid=MOBFXZXGCNBAKUSA&lid=LSTMOBFXZXGCNBAKUSASHBGZY&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_22_505&otracker=search&fm=organic&iid=9b0f8d26-4bdf-41f1-9c7d-46409f8b16d3.MOBFXZXGCNBAKUSA.SEARCH&ppt=None&ppn=None&ssid=ogb49poqj40000001638025441084&qH=0258c7d48242959a
,,
